"# Serious Injuries","# Visible Injuries","Agency Name (Crash Level) ","Date","Intersection Name (from Crash Report)","KABCO Severity","Light Conditions (Crash Level)","Location at Impact (Crash Level) ","Manner of Collision (Crash Level) ","Roadway (From Crash Report)","Surface Condition (Crash Level) ","Time","Safety Equipment (Crash Level) ","Weather Conditions (Crash Level)","# of Fatalities per Crash","Latitude","Longitude","Geolocated City","Geolocated County","First Harmful Event (Unit Order)","Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)","Most Harmful Event (Crash Level)"
0,0,"Atlanta Police Department","01/20/2021","2Nd Ave Se and Memorial Dr Se  2Nd Ave Se","(O) No Injury","Daylight","On Roadway - Non-Intersection","Rear End","Memorial Dr Se  2Nd Ave Se","Dry","06:53:00","[""Bicycle Helmet"",""Lap and Shoulder Belt Used""]","Clear",0,33.747298,-84.309755,"Atlanta","DEKALB","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","02/17/2021","Jonesboro Road and 1677 Lakewood Ave Se","(O) No Injury","Daylight","On Roadway - Non-Intersection","Angle Crash","1677 Lakewood Ave Se","Dry","16:33:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.7084935741,-84.3804158015,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","03/02/2021","None and 1054 N Highland Ave Ne","(O) No Injury","Daylight","Off Roadway - Sidewalk","Not a Collision with Motor Vehicle","1054 N Highland Ave Ne","Dry","14:58:00","Unknown","Clear",0,33.783284,-84.354786,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedestrian""]",,"[""Motor Vehicle in Motion"",""Pedestrian""]"
1,0,"Atlanta Police Department","03/07/2021","Auburn Ave Ne and Courtland St Ne","(A) Suspected Serious Injury","Daylight","On Roadway - Bicycle Lane","Not a Collision with Motor Vehicle","Auburn Ave Ne","Dry","16:26:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.755556,-84.384268,"Atlanta","FULTON","[""Other Object (Not Fixed)"",""Pedal-Cycle""]","Failure to Yield","[""Other Object (Not Fixed)"",""Pedal-Cycle""]"
0,1,"Georgia Tech Police Department","03/07/2021","Ferst Drive Nw and Regents Drive Nw","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Non-Intersection","Angle Crash","Ferst Drive Nw","Dry","14:15:00","[""None Used"",""None Used""]","Clear",0,33.773717,-84.401338,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","[""Improper Turn"",""Changed Lanes Improperly"",""Failure to Yield"",""No Signal/Improper Signal""]","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,1,"Atlanta Police Department","03/17/2021","12Th St Ne and Peachtree St","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","12Th St Ne","Wet","13:25:00","[""Lap and Shoulder Belt Used"",""None Used""]","Rain",0,33.784305,-84.383075,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","Failure to Yield","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","03/20/2021","Pryor Rd and Trinity Ave Sw","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","Pryor Rd","Dry","21:09:00","[""Unknown"",""Unknown""]","Clear",0,33.749185,-84.392716,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","Improper Turn","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,1,"Atlanta Police Department","03/22/2021","Sims St Sw and University Ave","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Sims St Sw","Dry","15:27:00","[""Unknown"",""Bicycle Helmet""]","Clear",0,33.722155,-84.403226,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Following Too Close","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,1,"Atlanta Police Department","03/27/2021","Barnett St Ne and Park Village Dr Ne","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","Barnett St Ne","Dry","18:02:00","[""None Used"",""None Used""]","Clear",0,33.768267,-84.35849,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Disregard Stop Sign/Signal","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","03/30/2021","Stiff St Nw and Bankhead Hwy Nw","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Stiff St Nw","Dry","14:30:00","[""Lap Belt Only Used"",""Bicycle Helmet""]","Clear",0,33.771904,-84.428126,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Reaction to Object or Animal","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
1,0,"Atlanta Police Department","04/02/2021","W Peek Rd Nw and Bankhead Hwy Nw","(A) Suspected Serious Injury","Daylight","Off Roadway","Not a Collision with Motor Vehicle","Bankhead Hwy Nw","Dry","18:50:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.777972,-84.477452,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Ditch""]","Failure to Yield","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,1,"Atlanta Police Department","04/20/2021","Martin St Se and Little St Se","(B) Suspected Minor/Visible Injury","Dark-Not Lighted","On Roadway - Driveway Intersection","Not a Collision with Motor Vehicle","Little St Se","Dry","17:30:00","[""Bicycle Helmet"",""Bicycle Helmet""]","Clear",0,33.730399,-84.387961,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Failure to Yield","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","04/23/2021","None and State Rte 400","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","State Rte 400","Dry","15:21:00","[""None Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.851667,-84.369951,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","[""Disregard Police - Evasion"",""No Signal/Improper Signal""]","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","04/23/2021","Langford Pkwy and Greenbriar Pkwy Sw","(C) Possible Injury / Complaint","Daylight","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","Greenbriar Pkwy Sw","Dry","13:00:00","[""Unknown"",""Unknown""]","Clear",0,33.691486,-84.489633,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Not Visible (Object, Person, or Vehicle)","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","05/02/2021","Krog St Ne and Edgewood Ave Se","(C) Possible Injury / Complaint","Daylight","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","Krog St Ne","Dry","09:00:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Bicycle Helmet""]","Clear",0,33.754544,-84.364436,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Changed Lanes Improperly","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","05/05/2021","N Highland Ave Ne and Los Angeles Ave Ne","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","N Highland Ave Ne","Dry","18:49:00","[""Lap and Shoulder Belt Used"",""Bicycle Helmet""]","Clear",0,33.783436,-84.354566,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Failure to Yield","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
1,0,"Atlanta Police Department","05/05/2021","10Th St Nw and Northside Pkwy Nw","(A) Suspected Serious Injury","Daylight","Off Roadway - Sidewalk","Not a Collision with Motor Vehicle","10Th St Nw","Dry","16:00:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.781557,-84.408114,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","Aggressive Driving","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","05/11/2021","Carmel Ave Ne and N Highland Ave Ne","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","N Highland Ave Ne","Dry","22:00:00","[""Unknown"",""Bicycle Helmet""]","Clear",0,33.764329,-84.355608,"Atlanta","FULTON","[""Pedal-Cycle"",""Pedal-Cycle""]",,"[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","05/16/2021","Krog St Ne and Edgewood Ave Se","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Edgewood Ave Se","Dry","14:00:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.754611,-84.364144,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","[""Failure to Yield"",""Not Visible (Object, Person, or Vehicle)""]","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","05/18/2021","Bolton Rd and Parrott Ave Nw","(C) Possible Injury / Complaint","Daylight","Off Roadway - Sidewalk","Not a Collision with Motor Vehicle","Bolton Rd","Dry","10:48:00","[""Lap and Shoulder Belt Used"",""Bicycle Helmet""]","Cloudy",0,33.810717,-84.477466,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,1,"Atlanta Police Department","05/22/2021","Roswell Rd and E Andrews Dr Nw","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","Roswell Rd","Dry","15:30:00","[""Unknown"",""Bicycle Helmet""]","Clear",0,33.843918,-84.379406,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","Aggressive Driving","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,1,"Atlanta Police Department","05/25/2021","Courtland St Ne and W Peachtree St Nw","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","W Peachtree St Nw","Dry","19:19:00","[""Lap and Shoulder Belt Used"",""Bicycle Helmet""]","Clear",0,33.765487,-84.384085,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","Other Activity - Mobile Device (Distracted)","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,1,"Atlanta Police Department","05/26/2021","Monroe Dr Ne and Cumberland Rd Ne","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","Cumberland Rd Ne","Dry","10:30:00","[""Unknown"",""None Used""]","Clear",0,33.796145,-84.368173,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","[""Disregard Other Traffic Control"",""Wrong Side of Road""]","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","05/27/2021","Euclid Ave Ne and Colquitt Ave Ne","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Euclid Ave Ne","Dry","18:00:00","[""None Used"",""Bicycle Helmet""]","Clear",0,33.763974,-84.351058,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Failure to Yield","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","06/01/2021","Spring St Nw and Alexander St Nw","(O) No Injury","Daylight","On Roadway - Driveway Intersection","Not a Collision with Motor Vehicle","Alexander St Nw","Dry","16:40:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.764472,-84.388978,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Driver Lost Control","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","06/04/2021","Muse St Se and Glenwood Ave Se","(C) Possible Injury / Complaint","Dark-Lighted","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","Glenwood Ave Se","Dry","20:30:00","[""Unknown"",""Bicycle Helmet""]","Clear",0,33.740995,-84.363464,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Misjudged Clearance","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,1,"Georgia Tech Police Department","06/06/2021","Tenth Street Nw and Atlantic Drive Nw","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Roadway Intersection","Angle Crash","Tenth Street Nw","Dry","17:47:00","[""Shoulder Belt Only Used"",""Shoulder Belt Only Used"",""Bicycle Helmet""]","Clear",0,33.781494,-84.397713,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","Disregard Stop Sign/Signal","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,1,"Atlanta Police Department","06/10/2021","Holly Rd Nw and Akridge St Nw","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","Holly Rd Nw","Dry","12:56:00","[""Unknown"",""Unknown""]","Clear",0,33.758468,-84.437827,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Aggressive Driving","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,1,"Atlanta Police Department","06/10/2021","Monroe Dr Ne and Cumberland Rd Ne","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Monroe Dr Ne","Dry","09:35:00","[""Bicycle Helmet"",""Unknown""]","Cloudy",0,33.796146,-84.368173,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Wrong Side of Road","[""Pedal-Cycle"",""Pedal-Cycle""]"
1,0,"Atlanta Police Department","06/16/2021","Ponce De Leon Ave Ne and S Ponce De Leon Ave Ne","(A) Suspected Serious Injury","Daylight","On Roadway - Driveway Intersection","Not a Collision with Motor Vehicle","S Ponce De Leon Ave Ne","Dry","19:30:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.773831,-84.348982,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Disregard Other Traffic Control","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,1,"Atlanta Police Department","06/16/2021","Pharr Rd Ne and Peachtree St","(B) Suspected Minor/Visible Injury","Dark-Lighted","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Peachtree St","Dry","21:15:00","[""Lap and Shoulder Belt Used"",""Bicycle Helmet""]","Clear",0,33.819651,-84.388499,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Failure to Yield","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","06/17/2021","Hedgewood Dr Nw and Hedgewood Ln Nw","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Hedgewood Ln Nw","Dry","20:59:00","[""Unknown"",""Unknown""]","Clear",0,33.757594,-84.476235,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","[""Aggressive Driving"",""Changed Lanes Improperly""]","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,1,"Atlanta Police Department","06/17/2021","Berne St Se and Boulevard Se","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Berne St Se","Dry","18:20:00","[""Lap and Shoulder Belt Used"",""Bicycle Helmet""]","Clear",0,33.736814,-84.368213,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Failure to Yield""]","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,1,"Atlanta Police Department","06/18/2021","Meldrum St Nw and Northside Pkwy Nw","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","Meldrum St Nw","Dry","11:01:00","[""Unknown"",""None Used""]","Clear",0,33.769114,-84.404876,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Wrong Side of Road","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
1,0,"Atlanta Police Department","06/26/2021","Tanner St Se and Hilliard St Se","(A) Suspected Serious Injury","Dark-Lighted","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","Hilliard St Se","Dry","21:00:00","[""Unknown"",""Unknown""]","Clear",0,33.755509,-84.376592,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
2,0,"Atlanta Police Department","06/29/2021","Ira St Sw and Fletcher St Sw","(A) Suspected Serious Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Ira St Sw","Dry","10:03:00","[""None Used"",""None Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Cloudy",0,33.725693,-84.400073,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","[""Failure to Yield"",""Disregard Stop Sign/Signal""]","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","07/03/2021","I- 85 and Cleveland Ave Sw","(C) Possible Injury / Complaint","Daylight","Entrance/Exit Ramp","Not a Collision with Motor Vehicle","I- 85","Dry","18:40:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.681319,-84.412089,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Failure to Yield","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","07/03/2021","Marietta St and Spring St Nw","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Spring St Nw","Dry","18:32:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.756981,-84.392671,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","Wrong Side of Road","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,1,"Atlanta Police Department","07/07/2021","Carver Dr Nw and Dahlia Ave Nw","(B) Suspected Minor/Visible Injury","Dusk","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","Carver Dr Nw","Dry","16:40:00","[""Unknown"",""None Used""]","Clear",0,33.75838,-84.462184,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Following Too Close","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,1,"Atlanta Police Department","07/08/2021","None and Courtenay Dr Ne","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Courtenay Dr Ne","Dry","18:30:00","[""Unknown"",""Unknown""]","Cloudy",0,33.789521,-84.363475,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Misjudged Clearance","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","07/08/2021","Grant St Se and Decatur St Se","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Decatur St Se","Dry","19:55:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.750167,-84.376723,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Not Visible (Object, Person, or Vehicle)","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","07/11/2021","None and Moreland Ave Ne","(C) Possible Injury / Complaint","Daylight","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","Moreland Ave Ne","Dry","16:16:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.762356,-84.349229,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]",,"[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","07/22/2021","Delowe Dr Sw and Blvd Granada Sw","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Delowe Dr Sw","Dry","17:52:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.717621,-84.461036,"Atlanta","FULTON","[""Pedal-Cycle"",""Pedal-Cycle""]","Disregard Stop Sign/Signal","[""Pedal-Cycle"",""Pedal-Cycle""]"
1,0,"Atlanta Police Department","07/22/2021","Woods Dr Nw and Baker Rd Nw","(A) Suspected Serious Injury","Daylight","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","Baker Rd Nw","Dry","18:19:00","[""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used"",""Lap and Shoulder Belt Used""]","Clear",0,33.769556,-84.468905,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","Failure to Yield","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,0,"Atlanta Police Department","07/24/2021","Hansell St Se and Cameron St Se","(O) No Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Cameron St Se","Dry","11:27:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.740126,-84.3652,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Disregard Stop Sign/Signal","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","07/24/2021","Jett Pl Nw and Jett Rd Nw","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Jett Rd Nw","Dry","09:43:00","[""None Used"",""Bicycle Helmet""]","Clear",0,33.875513,-84.40206,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
1,0,"Atlanta Police Department","07/25/2021","Pryor Rd and Bass St Sw","(A) Suspected Serious Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Bass St Sw","Dry","19:00:00","[""None Used"",""Unknown"",""Unknown""]","Clear",0,33.735609,-84.394626,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","Failure to Yield","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,1,"Atlanta Police Department","07/27/2021","Clifton Rd Ne and Ponce De Leon Ave Ne","(B) Suspected Minor/Visible Injury","Dawn","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","Ponce De Leon Ave Ne","Dry","06:25:00","[""Unknown"",""Bicycle Helmet""]","Clear",0,33.773684,-84.330868,"Atlanta","DEKALB","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Following Too Close","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,1,"Atlanta Police Department","08/05/2021","Mercer St Se and Eloise St Se","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Eloise St Se","Dry","12:40:00","[""Shoulder Belt Only Used"",""Unknown""]","Clear",0,33.735472,-84.362865,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Disregard Police - Traffic Control","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","08/10/2021","Piedmont Ave Ne and Ponce De Leon Ave Ne","(C) Possible Injury / Complaint","Daylight","On Roadway - Bicycle Lane","Not a Collision with Motor Vehicle","Piedmont Ave Ne","Dry","12:47:00","[""Unknown"",""Unknown""]","Clear",0,33.772646,-84.381767,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Failure to Yield","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","08/10/2021","Joseph E Lowery Blvd Nw and Martin Luther King Jr Dr Sw","(C) Possible Injury / Complaint","Daylight","Off Roadway","Not a Collision with Motor Vehicle","Joseph E Lowery Blvd Nw","Dry","16:30:00","[""None Used"",""Bicycle Helmet""]","Clear",0,33.754718,-84.415139,"Atlanta","FULTON","[""Other - Fixed Object"",""Pedal-Cycle""]",,"[""Other Object (Not Fixed)"",""Pedal-Cycle""]"
0,1,"Atlanta Police Department","08/11/2021","None and North Avenue Ne","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","North Avenue Ne","Water (standing or moving)","17:30:00","[""None Used"",""None Used""]","Cloudy",0,33.771234,-84.377796,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Disregard Other Traffic Control","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,1,"Atlanta Police Department","08/18/2021","Peyton Ave and Donald Lee Hollowell","(B) Suspected Minor/Visible Injury","Dark-Lighted","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","Donald Lee Hollowell","Dry","00:00:00","[""Unknown"",""Unknown""]","Clear",0,33.775792,-84.467871,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","[""Inattentive or Other Distraction (Distracted)"",""Not Visible (Object, Person, or Vehicle)""]","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
0,1,"Atlanta Police Department","08/28/2021","25Th St Nw and Peachtree St Nw","(B) Suspected Minor/Visible Injury","Dark-Lighted","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","Peachtree St Nw","Dry","19:30:00","[""Unknown"",""Bicycle Helmet""]","Clear",0,33.801496,-84.392803,"Atlanta","FULTON","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","[""Pedal-Cycle"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","08/30/2021","4Th St  Nw and Spring St Nw","(C) Possible Injury / Complaint","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Spring St Nw","Dry","08:36:00","[""Lap and Shoulder Belt Used"",""None Used""]","Cloudy",0,33.775183,-84.388817,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","Improper Turn","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
1,0,"Atlanta Police Department","09/03/2021","Marietta St and Ivan Allen Junior Blvd","(A) Suspected Serious Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Marietta St","Dry","15:00:00","[""None Used"",""Unknown"",""Unknown""]","Clear",0,33.764221,-84.397251,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","Disregard Stop Sign/Signal","[""Pedal-Cycle"",""Motor Vehicle in Motion""]"
1,0,"Atlanta Police Department","09/04/2021","Oakland Ave Se and Memorial Dr Se","(A) Suspected Serious Injury","Dark-Lighted","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","Memorial Dr Se","Dry","01:00:00","[""Unknown"",""Reflective: Clothing/Backpack/Equipment""]","Clear",0,33.746789,-84.374584,"Atlanta","FULTON","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","Following Too Close","[""Pedal-Cycle"",""Pedal-Cycle""]"
