"# Serious Injuries","# Visible Injuries","Agency Name (Crash Level) ","Date","Intersection Name (from Crash Report)","KABCO Severity","Light Conditions (Crash Level)","Location at Impact (Crash Level) ","Manner of Collision (Crash Level) ","Roadway (From Crash Report)","Surface Condition (Crash Level) ","Time","Safety Equipment (Crash Level) ","Weather Conditions (Crash Level)","# of Fatalities per Crash","Latitude","Longitude","Geolocated City","Geolocated County","First Harmful Event (Unit Order)","Operator/Pedestrian Contrib Factor (excl None, Other, No Contrib Factors)","Most Harmful Event (Crash Level)"
0,0,"Atlanta Police Department","05/14/2025","Kennesaw Ave Ne and Ponce De Leon Ave Ne","(O) No Injury","Dark-Lighted","Entrance/Exit Ramp","Not a Collision with Motor Vehicle","Ponce De Leon Ave Ne","Dry","23:00:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.77375827,-84.36917443,"Atlanta","Fulton","[""Pedal-Cycle"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedal-Cycle"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","05/15/2025","10Th St Ne and Crescent Ave Ne","(O) No Injury","Dark-Not Lighted","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","Crescent Ave Ne","Dry","23:36:00","[""Unknown"",""Unknown""]","Clear",0,33.78159366,-84.38487874,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Pedestrian""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","05/17/2025","Austin Woods Ct Sw and Austin Woods Dr Sw","(C) Possible Injury / Complaint","Daylight","On Roadway - Driveway Intersection","Not a Collision with Motor Vehicle","Austin Woods Dr Sw","Dry","17:00:00","[""Unknown"",""None Used""]","Cloudy",0,33.70462525,-84.5092319,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Other Unit Contributed to Crash"",""Inattentive or Other Distraction (Distracted)""]","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,1,"Atlanta Police Department","05/21/2025","Sydney St Se and Cherokee Ave Se","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - In Crosswalk","Not a Collision with Motor Vehicle","Cherokee Ave Se","Dry","16:45:00","[""Unknown"",""Bicycle Helmet""]","Clear",0,33.74115478,-84.37362369,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","Failure to Yield","Pedal-Cycle"
0,1,"Atlanta Police Department","05/21/2025","Elbridge Dr Nw and Chappell Rd Nw","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Non-Intersection","Not a Collision with Motor Vehicle","Chappell Rd Nw","Dry","20:26:00","[""Unknown"",""None Used""]","Clear",0,33.76833984,-84.43316218,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","Failure to Yield","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,1,"Atlanta Police Department","05/22/2025","W Conway Dr Nw and Northside Dr Nw","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Driveway Intersection","Not a Collision with Motor Vehicle","Northside Dr Nw","Dry","19:15:00","[""Unknown"",""Unknown""]","Clear",0,33.87129177,-84.40841667,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","[""Inattentive or Other Distraction (Distracted)"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,1,"Atlanta Police Department","05/22/2025","Grant St Se and Memorial Dr Se","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Bicycle Lane","Not a Collision with Motor Vehicle","Grant St Se","Dry","07:40:00","[""Lap and Shoulder Belt Used"",""Bicycle Helmet""]","Clear",0,33.74682035,-84.37665983,"Atlanta","Fulton","[""Pedal-Cycle"",""Pedal-Cycle""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Pedal-Cycle"",""Pedal-Cycle""]"
0,1,"Atlanta Police Department","05/24/2025","Gray St Nw and Ivan Allen Jr Blvd Nw","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Roadway Intersection","Not a Collision with Motor Vehicle","Gray St Nw","Dry","16:30:00","[""Unknown"",""Unknown""]","Clear",0,33.76372098,-84.40167325,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,1,"Atlanta Police Department","05/29/2025","16Th St Ne and Peachtree St Ne","(B) Suspected Minor/Visible Injury","Daylight","On Roadway - Driveway Intersection","Not a Collision with Motor Vehicle","Peachtree St Ne","Water (standing or moving)","07:34:00","[""Unknown"",""Unknown""]","Cloudy",0,33.79117999,-84.3854987,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Pedal-Cycle""]","[""Failure to Yield"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
0,0,"Atlanta Police Department","05/30/2025","Joseph E Boone Blvd Nw and Joseph E Lowery Blvd Nw","(C) Possible Injury / Complaint","Daylight","On Roadway - Driveway Intersection","Not a Collision with Motor Vehicle","Joseph E Boone Blvd Nw","Dry","15:00:00","[""Lap and Shoulder Belt Used"",""None Used""]","Clear",0,33.76347727,-84.41663262,"Atlanta","Fulton","[""Motor Vehicle in Motion"",""Motor Vehicle in Motion""]","[""Misjudged Clearance"",""Other Unit Contributed to Crash""]","[""Motor Vehicle in Motion"",""Pedal-Cycle""]"
